1517007843;"2023/01/27 00:04:03";6.5;78
1517008150;"2023/01/27 00:09:10";6.5;78
1517008459;"2023/01/27 00:14:19";6.4;78
1517008767;"2023/01/27 00:19:27";6.4;78
1517009073;"2023/01/27 00:24:33";6.4;78
1517009381;"2023/01/27 00:29:41";6.4;78
1517009689;"2023/01/27 00:34:49";6.4;78
1517009945;"2023/01/27 00:39:05";6.4;78
1517010253;"2023/01/27 00:44:13";6.4;78
1517010560;"2023/01/27 00:49:20";6.4;78
1517010868;"2023/01/27 00:54:28";6.4;78
1517011175;"2023/01/27 00:59:35";6.4;78
1517011483;"2023/01/27 01:04:43";6.4;79
1517011791;"2023/01/27 01:09:51";6.3;79
1517012098;"2023/01/27 01:14:58";6.3;79
1517012406;"2023/01/27 01:20:06";6.3;79
1517012713;"2023/01/27 01:25:13";6.3;79
1517013021;"2023/01/27 01:30:21";6.3;79
1517013328;"2023/01/27 01:35:28";6.3;79
1517013635;"2023/01/27 01:40:35";6.2;79
1517013893;"2023/01/27 01:44:53";6.2;79
1517014200;"2023/01/27 01:50:00";6.2;79
1517014507;"2023/01/27 01:55:07";6.1;79
1517014814;"2023/01/27 02:00:14";6.1;79
1517015122;"2023/01/27 02:05:22";6.1;79
1517015430;"2023/01/27 02:10:30";6.1;79
1517015737;"2023/01/27 02:15:37";6.1;79
1517016045;"2023/01/27 02:20:45";6.1;79
1517016353;"2023/01/27 02:25:53";6.1;79
1517016660;"2023/01/27 02:31:00";6;79
1517016968;"2023/01/27 02:36:08";6;79
1517017275;"2023/01/27 02:41:15";6;79
1517017532;"2023/01/27 02:45:32";6;80
1517017839;"2023/01/27 02:50:39";6.1;80
1517018147;"2023/01/27 02:55:47";6;80
1517018455;"2023/01/27 03:00:55";6;80
1517018762;"2023/01/27 03:06:02";6;80
1517019070;"2023/01/27 03:11:10";6;80
1517019377;"2023/01/27 03:16:17";6;80
1517019685;"2023/01/27 03:21:25";6;80
1517019993;"2023/01/27 03:26:33";5.9;80
1517020300;"2023/01/27 03:31:40";6;80
1517020608;"2023/01/27 03:36:48";5.9;80
1517020916;"2023/01/27 03:41:56";5.9;80
1517021171;"2023/01/27 03:46:11";5.9;80
1517021479;"2023/01/27 03:51:19";5.9;80
1517021786;"2023/01/27 03:56:26";5.9;80
1517022094;"2023/01/27 04:01:34";5.9;80
1517022401;"2023/01/27 04:06:41";5.9;80
1517022709;"2023/01/27 04:11:49";5.9;80
1517023017;"2023/01/27 04:16:57";5.9;80
1517023324;"2023/01/27 04:22:04";5.8;80
1517023632;"2023/01/27 04:27:12";5.9;80
1517023939;"2023/01/27 04:32:19";5.8;80
1517024247;"2023/01/27 04:37:27";5.8;80
1517024555;"2023/01/27 04:42:35";5.8;80
1517024811;"2023/01/27 04:46:51";5.8;80
1517025119;"2023/01/27 04:51:59";5.8;81
1517025426;"2023/01/27 04:57:06";5.8;81
1517025734;"2023/01/27 05:02:14";5.8;81
1517026041;"2023/01/27 05:07:21";5.7;81
1517026348;"2023/01/27 05:12:28";5.7;81
1517026656;"2023/01/27 05:17:36";5.7;81
1517026963;"2023/01/27 05:22:43";5.7;81
1517027272;"2023/01/27 05:27:52";5.7;81
1517027580;"2023/01/27 05:33:00";5.8;81
